,rawContent,caseFolding,cleaning,tweet_tokens,tweet_tokens_fdist,tweet_tokens_WSW,tweet_tokens_normalized,tweet_tokens_stemmed
25,"Mari pindah game yuk ml udah gak seasik dulu,sekarang monton cuma mau ambil ke untungan dan tidak memikirkan pemain nya sendiri banyak bug dan banyak mendapatkan tim yg jauh dari katagori baik, pemain nya rasis pula dan banyak akun kecil yg di jokiin lalu jadi drank sistem di tier atas dan skinÂ² sekarang kualitas nya buruk dan harga nya mahal sekali saya benci monton","mari pindah game yuk ml udah gak seasik dulu,sekarang monton cuma mau ambil ke untungan dan tidak memikirkan pemain nya sendiri banyak bug dan banyak mendapatkan tim yg jauh dari katagori baik, pemain nya rasis pula dan banyak akun kecil yg di jokiin lalu jadi drank sistem di tier atas dan skinâ² sekarang kualitas nya buruk dan harga nya mahal sekali saya benci monton",mari pindah game yuk ml udah gak seasik dulu sekarang monton cuma mau ambil ke untungan dan tidak memikirkan pemain nya sendiri banyak bug dan banyak mendapatkan tim yg jauh dari katagori baik pemain nya rasis pula dan banyak akun kecil yg di jokiin lalu jadi drank sistem di tier atas dan skin sekarang kualitas nya buruk dan harga nya mahal sekali saya benci monton,"['mari', 'pindah', 'game', 'yuk', 'ml', 'udah', 'gak', 'seasik', 'dulu', 'sekarang', 'monton', 'cuma', 'mau', 'ambil', 'ke', 'untungan', 'dan', 'tidak', 'memikirkan', 'pemain', 'nya', 'sendiri', 'banyak', 'bug', 'dan', 'banyak', 'mendapatkan', 'tim', 'yg', 'jauh', 'dari', 'katagori', 'baik', 'pemain', 'nya', 'rasis', 'pula', 'dan', 'banyak', 'akun', 'kecil', 'yg', 'di', 'jokiin', 'lalu', 'jadi', 'drank', 'sistem', 'di', 'tier', 'atas', 'dan', 'skin', 'sekarang', 'kualitas', 'nya', 'buruk', 'dan', 'harga', 'nya', 'mahal', 'sekali', 'saya', 'benci', 'monton']",<FreqDist with 51 samples and 65 outcomes>,"['mari', 'gak', 'seasik', 'monton', 'ambil', 'untungan', 'memikirkan', 'pemain', 'tim', 'katagori', 'pemain', 'rasis', 'akun', 'jokiin', 'drank', 'sistem', 'kualitas', 'buruk', 'harga', 'mahal', 'benci', 'monton']","['mari', 'tidak,', 'seasik', 'moonton,', 'ambil', 'untungan', 'memikirkan', 'pemain,', 'tim', 'katagori', 'pemain,', 'rasis', 'akun', 'jokiin', 'drank', 'sistim,', 'kualitas', 'buruk', 'harga', 'mahal', 'benci', 'moonton,']","['mari', 'tidak', 'seasik', 'moonton', 'ambil', 'untung', 'pikir', 'main', 'tim', 'katagori', 'main', 'ras', 'akun', 'jokiin', 'drank', 'sistim', 'kualitas', 'buruk', 'harga', 'mahal', 'benci', 'moonton']"
26,Entah kenapa sekarang gamenya jadi susah banget dimainin,entah kenapa sekarang gamenya jadi susah banget dimainin,entah kenapa sekarang gamenya jadi susah banget dimainin,"['entah', 'kenapa', 'sekarang', 'gamenya', 'jadi', 'susah', 'banget', 'dimainin']",<FreqDist with 8 samples and 8 outcomes>,"['gamenya', 'susah', 'banget', 'dimainin']","['gim,', 'susah', 'banget', 'dimainin']","['gim', 'susah', 'banget', 'dimainin']"
27,"gaes siap2 beralih rame2 ke HOK ,,,","gaes siap2 beralih rame2 ke hok ,,,",gaes siap beralih rame ke hok,"['gaes', 'siap', 'beralih', 'rame', 'ke', 'hok']",<FreqDist with 6 samples and 6 outcomes>,"['gaes', 'beralih', 'rame', 'hok']","['gaes', 'beralih', 'ramai,', 'hok']","['gaes', 'alih', 'ramai', 'hok']"
28,Game anjeng.... Game babii.... Kalok ngasih team pasti team anjeng.. sama babi... Turun terus rank ku tutup aja game kau,game anjeng.... game babii.... kalok ngasih team pasti team anjeng.. sama babi... turun terus rank ku tutup aja game kau,game anjeng game babii kalok ngasih team pasti team anjeng sama babi turun terus rank ku tutup aja game kau,"['game', 'anjeng', 'game', 'babii', 'kalok', 'ngasih', 'team', 'pasti', 'team', 'anjeng', 'sama', 'babi', 'turun', 'terus', 'rank', 'ku', 'tutup', 'aja', 'game', 'kau']",<FreqDist with 16 samples and 20 outcomes>,"['anjeng', 'babii', 'kalok', 'ngasih', 'anjeng', 'babi', 'tutup', 'kau']","['anjeng', 'babii', 'kalai,', 'memberikan,', 'anjeng', 'babi', 'tutup', 'kamu,']","['anjeng', 'babi', 'kalai', 'beri', 'anjeng', 'babi', 'tutup', 'kamu']"
29,TOLONG DONG KALO KASIH TIM SAMA MUSUH YANG SEIMBANG YAKALI TIM SAMA MUSUH BEDA KADANG DAPET TIM LEGEND SEDANGKAN MUSUH GA ADA YG LEGEND ITU GIMANA CERITANYA MENDING KALO GENDONG INI MALAH DI GENDONG TOLONG YA MOONTON SISTEM PERTANDINGAN DISTABILKAN AGAR SAYA TIDAK PINDAH GAME!!!!,tolong dong kalo kasih tim sama musuh yang seimbang yakali tim sama musuh beda kadang dapet tim legend sedangkan musuh ga ada yg legend itu gimana ceritanya mending kalo gendong ini malah di gendong tolong ya moonton sistem pertandingan distabilkan agar saya tidak pindah game!!!!,tolong dong kalo kasih tim sama musuh yang seimbang yakali tim sama musuh beda kadang dapet tim legend sedangkan musuh ga ada yg legend itu gimana ceritanya mending kalo gendong ini malah di gendong tolong ya moonton sistem pertandingan distabilkan agar saya tidak pindah game,"['tolong', 'dong', 'kalo', 'kasih', 'tim', 'sama', 'musuh', 'yang', 'seimbang', 'yakali', 'tim', 'sama', 'musuh', 'beda', 'kadang', 'dapet', 'tim', 'legend', 'sedangkan', 'musuh', 'ga', 'ada', 'yg', 'legend', 'itu', 'gimana', 'ceritanya', 'mending', 'kalo', 'gendong', 'ini', 'malah', 'di', 'gendong', 'tolong', 'ya', 'moonton', 'sistem', 'pertandingan', 'distabilkan', 'agar', 'saya', 'tidak', 'pindah', 'game']",<FreqDist with 36 samples and 45 outcomes>,"['kalo', 'tim', 'seimbang', 'yakali', 'tim', 'beda', 'tim', 'gimana', 'ceritanya', 'mending', 'kalo', 'sistem', 'pertandingan', 'distabilkan']","['kalau,', 'tim', 'seimbang', 'ragu,', 'tim', 'beda', 'tim', 'bagaimana,', 'ceritanya', 'lebihbaik,', 'kalau,', 'sistim,', 'pertandingan', 'distabilkan']","['kalau', 'tim', 'imbang', 'ragu', 'tim', 'beda', 'tim', 'bagaimana', 'cerita', 'lebihbaik', 'kalau', 'sistim', 'tanding', 'stabil']"
30,"ml anj,babi,tolol,selalu dikasih dark sistem babi anj udh report aja","ml anj,babi,tolol,selalu dikasih dark sistem babi anj udh report aja",ml anj babi tolol selalu dikasih dark sistem babi anj udh report aja,"['ml', 'anj', 'babi', 'tolol', 'selalu', 'dikasih', 'dark', 'sistem', 'babi', 'anj', 'udh', 'report', 'aja']",<FreqDist with 11 samples and 13 outcomes>,"['babi', 'tolol', 'dikasih', 'dark', 'sistem', 'babi']","['babi', 'bodoh,', 'dikasih', 'dark', 'sistim,', 'babi']","['babi', 'bodoh', 'kasih', 'dark', 'sistim', 'babi']"
31,Banyakin lagi dark sistemnya.... biar tambah banyak yang pindah game ke HOK !!!!!!!,banyakin lagi dark sistemnya.... biar tambah banyak yang pindah game ke hok !!!!!!!,banyakin lagi dark sistemnya biar tambah banyak yang pindah game ke hok,"['banyakin', 'lagi', 'dark', 'sistemnya', 'biar', 'tambah', 'banyak', 'yang', 'pindah', 'game', 'ke', 'hok']",<FreqDist with 12 samples and 12 outcomes>,"['banyakin', 'dark', 'sistemnya', 'hok']","['banyakin', 'dark', 'sistemnya', 'hok']","['banyakin', 'dark', 'sistem', 'hok']"
32,Dark system,dark system,dark system,"['dark', 'system']",<FreqDist with 2 samples and 2 outcomes>,['dark'],['dark'],['dark']
33,"Main di full party glory nabrak immortal hey pengembangan game tolol bener dah match kayak gitu, pengalaman orang bermain beda loe samain sama tier atas sampah emang.","main di full party glory nabrak immortal hey pengembangan game tolol bener dah match kayak gitu, pengalaman orang bermain beda loe samain sama tier atas sampah emang.",main di full party glory nabrak immortal hey pengembangan game tolol bener dah match kayak gitu pengalaman orang bermain beda loe samain sama tier atas sampah emang,"['main', 'di', 'full', 'party', 'glory', 'nabrak', 'immortal', 'hey', 'pengembangan', 'game', 'tolol', 'bener', 'dah', 'match', 'kayak', 'gitu', 'pengalaman', 'orang', 'bermain', 'beda', 'loe', 'samain', 'sama', 'tier', 'atas', 'sampah', 'emang']",<FreqDist with 27 samples and 27 outcomes>,"['party', 'nabrak', 'immortal', 'hey', 'pengembangan', 'tolol', 'bener', 'kayak', 'pengalaman', 'orang', 'beda', 'loe', 'samain', 'sampah']","['party', 'nabrak', 'immortal', 'hai,', 'pengembangan', 'bodoh,', 'benar,', 'seperti,', 'pengalaman', 'orang', 'beda', 'kamu,', 'samain', 'sampah']","['party', 'nabrak', 'immortal', 'hai', 'kembang', 'bodoh', 'benar', 'seperti', 'alam', 'orang', 'beda', 'kamu', 'samain', 'sampah']"
34,"Game busuk , gak layak dimainkan , banyak dark sistem , mending pindah ke honor of kings aja","game busuk , gak layak dimainkan , banyak dark sistem , mending pindah ke honor of kings aja",game busuk gak layak dimainkan banyak dark sistem mending pindah ke honor of kings aja,"['game', 'busuk', 'gak', 'layak', 'dimainkan', 'banyak', 'dark', 'sistem', 'mending', 'pindah', 'ke', 'honor', 'of', 'kings', 'aja']",<FreqDist with 15 samples and 15 outcomes>,"['busuk', 'gak', 'layak', 'dimainkan', 'dark', 'sistem', 'mending', 'honor', 'of', 'kings']","['busuk,', 'tidak,', 'layak', 'dimainkan', 'dark', 'sistim,', 'lebihbaik,', 'honor', 'of', 'kings']","['busuk', 'tidak', 'layak', 'main', 'dark', 'sistim', 'lebihbaik', 'honor', 'of', 'kings']"
